file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,zcr,rms
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-01-01-01.wav,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.66741,-2.9838283,3.0980291,-3.3108134,-1.5643843,-7.861652,-2.1242816,2.849204,0.05047568044354839,0.0021197072
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-01-02-01.wav,-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.658608,-7.648504,-1.4770776,3.031821,0.05290441543530351,0.0022580326
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-02-01-01.wav,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622655,1.8734848,0.04662688314332247,0.0027071815
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-02-02-01.wav,-710.9753,67.56489,5.7822413,13.230727,6.1908455,12.628252,-1.6751693,5.6574936,-4.950634,-3.4775453,-7.4165573,-1.9370041,2.2715254,0.05383546560402685,0.0025207684
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-01-01-01.wav,-759.92175,75.78352,6.0236053,14.557394,6.4541883,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.7902875,-3.5649483,2.18097,0.04592932275978916,0.0015786955
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-01-02-01.wav,-735.0066,79.09305,8.141051,11.41355,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046408,0.03303843842455621,0.0016762057
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-02-01-01.wav,-733.5249,81.58986,4.8633575,14.423686,5.2676888,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674488,-6.2504735,-3.8666399,3.3255188,0.045950382313829786,0.0025555012
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-02-02-01.wav,-728.363,82.324936,7.5005765,12.542464,6.788125,14.805659,-2.9095802,6.9378386,-4.84434,-1.8469235,-5.6877103,-3.6666536,2.2403512,0.04764336896088957,0.0026076469
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-01-01-01.wav,-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468978,4.4702497,-5.536262,0.87879485,-5.3482485,-3.029556,2.3405735,0.03624225484913793,0.0014528487
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-01-02-01.wav,-733.9896,82.99157,3.796794,13.411559,3.1084964,16.039553,-5.652945,5.5606713,-7.840987,-1.1772105,-5.7287865,-4.109694,3.8823817,0.04488291638962766,0.0015512242
